event_name,participant_id,task,time,mode,interaction_group
complete,355c7f9cb7,4,1656310654,Advanced,High interaction
start,355c7f9cb7,5,1656310654,Balanced,High interaction
attempts,355c7f9cb7,5,1656310723,Advanced,High interaction
complete,355c7f9cb7,5,1656310724,Advanced,High interaction
start,355c7f9cb7,6,1656310724,Advanced,High interaction
attempts,355c7f9cb7,6,1656310821,Basic,High interaction
complete,355c7f9cb7,6,1656310822,Basic,High interaction
start,355c7f9cb7,7,1656310822,Basic,High interaction
attempts,355c7f9cb7,7,1656310883,Balanced,High interaction
complete,355c7f9cb7,7,1656310884,Balanced,High interaction
start,355c7f9cb7,8,1656310884,Balanced,High interaction
attempts,355c7f9cb7,8,1656310964,Advanced,High interaction
complete,355c7f9cb7,8,1656310965,Advanced,High interaction
start,355c7f9cb7,9,1656310965,Advanced,High interaction
attempts,355c7f9cb7,9,1656311001,Advanced,High interaction
skip,355c7f9cb7,9,1656311002,Advanced,High interaction
start,e6b8bb0f87,1,1656615493,Basic,High interaction
attempts,e6b8bb0f87,1,1656615613,Advanced,High interaction
complete,e6b8bb0f87,1,1656615614,Advanced,High interaction
start,e6b8bb0f87,2,1656615614,Balanced,High interaction
attempts,e6b8bb0f87,2,1656615715,Advanced,High interaction
complete,e6b8bb0f87,2,1656615716,Advanced,High interaction
start,e6b8bb0f87,3,1656615716,Advanced,High interaction
attempts,e6b8bb0f87,3,1656615776,Advanced,High interaction
skip,e6b8bb0f87,3,1656615777,Advanced,High interaction
start,e6b8bb0f87,4,1656615777,Basic,High interaction
attempts,e6b8bb0f87,4,1656615893,Balanced,High interaction
complete,e6b8bb0f87,4,1656615894,Balanced,High interaction
start,e6b8bb0f87,5,1656615894,Balanced,High interaction
attempts,e6b8bb0f87,5,1656615960,Advanced,High interaction
complete,e6b8bb0f87,5,1656615961,Advanced,High interaction
start,e6b8bb0f87,6,1656615961,Advanced,High interaction
attempts,e6b8bb0f87,6,1656616059,Balanced,High interaction
